targetname,datetime_jd,datetime_str,H,G,e,q,incl,Omega,w,Tp_jd,n,M,nu,a,Q,P,Periodo_Anios,Velocidad_Media_km_s
1 Ceres (A801 AA),2460676.5,A.D. 2025-Jan-01 00:00:00.0000,3.35,0.12,0.07927929080437446,2.547045156152441,10.58793299269121,80.25430838169864,73.26238274195768,2459919.534301203,0.2142106082597035,162.1500827709824,164.693202244884,2.766360233580095,2.985675311007749,1680.589037698568,4.601115120330775,17.904835154416386
1 Ceres (A801 AA),2460677.5,A.D. 2025-Jan-02 00:00:00.0000,3.35,0.12,0.07928064682659171,2.547038225472283,10.58793238637969,80.25430309102136,73.26226645897945,2459919.535274792,0.2142110093542439,162.3643888416092,164.8777494596337,2.766356780373415,2.985675335274548,1680.585890917785,4.601106505077245,17.904846329597675
1 Ceres (A801 AA),2460678.5,A.D. 2025-Jan-03 00:00:00.0000,3.35,0.12,0.0792820015483716,2.547031304058385,10.58793175528518,80.25429754441447,73.26215516389773,2459919.536270601,0.2142114097360792,162.5786904131182,165.0622652158421,2.766353333313488,2.985675362568591,1680.582749740272,4.601097905164342,17.904857484907865
1 Ceres (A801 AA),2460679.5,A.D. 2025-Jan-04 00:00:00.0000,3.35,0.12,0.07928335488798964,2.547024392296701,10.58793109970091,80.25429174093233,73.26204889695819,2459919.537288762,0.2142118093850287,162.7929874394917,165.2467497966139,2.766349892573998,2.985675392851295,1680.57961432429,4.601089321025354,17.904868619784768
1 Ceres (A801 AA),2460680.5,A.D. 2025-Jan-05 00:00:00.0000,3.35,0.12,0.07928470674414026,2.547017490669123,10.58793041990727,80.25428567951533,73.26194769700115,2459919.538329378,0.2142122082756425,163.0072798769937,165.4312034866043,2.766346458373997,2.98567542607887,1680.576484869442,4.601080753206751,17.90487973351938
1 Ceres (A801 AA),2460681.5,A.D. 2025-Jan-06 00:00:00.0000,3.35,0.12,0.07928605699867437,2.547010599739095,10.58792971617721,80.25427935903474,73.26185160050805,2459919.539392523,0.2142126063780589,163.2215676851035,165.6156265729298,2.76634303097051,2.985675462201924,1680.573361609934,4.6010722023497435,17.90489082527979
1 Ceres (A801 AA),2460682.5,A.D. 2025-Jan-07 00:00:00.0000,3.35,0.12,0.07928740551886988,2.547003720139823,10.58792898878043,80.25427277832848,73.26176064091696,2459919.540478236,0.2142130036587018,163.4358508271694,165.8000193458178,2.766339610652544,2.985675501165265,1680.570244809113,4.6010636691753275,17.904901894130592
1 Ceres (A801 AA),2460683.5,A.D. 2025-Jan-08 00:00:00.0000,3.35,0.12,0.07928875215971007,2.546996852562502,10.58792823798732,80.25426593623659,73.26167484799329,2459919.541586525,0.214213400080968,163.6501292710031,165.9843820992023,2.766336197735159,2.985675542907817,1680.567134754072,4.6010551544694955,17.904912939052057
1 Ceres (A801 AA),2460684.5,A.D. 2025-Jan-09 00:00:00.0000,3.35,0.12,0.07929009676582964,2.546989997746391,10.58792746407224,80.25425883162985,73.26159424737344,2459919.542717366,0.2142137956058019,163.8644029892986,166.1687151311525,2.766332792554527,2.985675587362662,1680.564031751134,4.601046659070913,17.904923958956125
1 Ceres (A801 AA),2460685.5,A.D. 2025-Jan-10 00:00:00.0000,3.35,0.12,0.07929143917332537,2.546983156469651,10.58792666731611,80.25425146343613,73.26151886021326,2459919.543870704,0.2142141901922191,164.0786719599377,166.3530187441982,2.766329395463421,2.98567563445719,1680.560936121758,4.601038183859654,17.90493495270101
